[14/1/2024 23:6:12] Client is starting
[14/1/2024 23:6:13] Received death event
[14/1/2024 23:6:13] Received death event
[14/1/2024 23:6:14] Client is connected successfully
[14/1/2024 23:6:14] Received death event
[14/1/2024 23:6:14] Received death event
[14/1/2024 23:6:14] Received death event
[14/1/2024 23:6:14] Received death event
[14/1/2024 23:6:15] Received death event
[14/1/2024 23:6:15] Received death event
[14/1/2024 23:6:16] Received death event
[14/1/2024 23:6:16] Received death event
[14/1/2024 23:6:16] Received death event
[14/1/2024 23:6:16] Received death event
[14/1/2024 23:6:17] Received death event
[14/1/2024 23:6:17] Received death event
[14/1/2024 23:6:17] Received death event
[14/1/2024 23:6:17] Received death event
[14/1/2024 23:6:18] Received join command
[14/1/2024 23:6:18] Received room join event
[14/1/2024 23:6:19] Received start command
[14/1/2024 23:6:19] Received death event
[14/1/2024 23:6:19] Received death event
[14/1/2024 23:6:19] Window created
[14/1/2024 23:6:19] Received high score
[14/1/2024 23:6:19] Received death event
[14/1/2024 23:6:20] Received death event
[14/1/2024 23:6:20] Received death event
[14/1/2024 23:6:20] Received death event
[14/1/2024 23:6:22] Received death event
[14/1/2024 23:6:22] Received death event
[14/1/2024 23:6:22] Received death event
[14/1/2024 23:6:23] Received death event
[14/1/2024 23:6:23] Received death event
[14/1/2024 23:6:23] Received death event
[14/1/2024 23:6:23] Received death event
[14/1/2024 23:6:23] Received death event
[14/1/2024 23:6:23] Received death event
[14/1/2024 23:6:23] Received death event
[14/1/2024 23:6:23] Received death event
[14/1/2024 23:6:23] Received death event
[14/1/2024 23:6:24] Received death event
[14/1/2024 23:6:24] Received death event
[14/1/2024 23:6:24] Received death event
[14/1/2024 23:6:25] Received death event
[14/1/2024 23:6:25] Received death event
[14/1/2024 23:6:25] Received death event
[14/1/2024 23:6:25] Received death event
[14/1/2024 23:6:25] Received death event
[14/1/2024 23:6:25] Received death event
[14/1/2024 23:6:25] Received death event
[14/1/2024 23:6:25] Received death event
[14/1/2024 23:6:25] Received death event
[14/1/2024 23:6:25] Received death event
[14/1/2024 23:6:25] Received death event
[14/1/2024 23:6:25] Received death event
[14/1/2024 23:6:26] Received death event
[14/1/2024 23:6:26] Received death event
[14/1/2024 23:6:26] Received death event
[14/1/2024 23:6:26] Received death event
[14/1/2024 23:6:26] Received death event
[14/1/2024 23:6:26] Received death event
[14/1/2024 23:6:26] Received death event
[14/1/2024 23:6:26] Received death event
[14/1/2024 23:6:26] Received death event
[14/1/2024 23:6:27] Received death event
[14/1/2024 23:6:27] Received death event
[14/1/2024 23:6:27] Received death event
[14/1/2024 23:6:27] Received death event
[14/1/2024 23:6:27] Received death event
[14/1/2024 23:6:27] Received death event
[14/1/2024 23:6:27] Received death event
[14/1/2024 23:6:27] Received death event
[14/1/2024 23:6:27] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:28] Received death event
[14/1/2024 23:6:29] Received death event
[14/1/2024 23:6:29] Received death event
[14/1/2024 23:6:29] Received death event
